
2024/02/07 (23:28:50) | ===> btop++ v.1.3.0
2024/02/07 (23:28:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/02/07 (23:28:50) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/02/07 (23:28:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/02/07 (23:28:50) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/15 (10:21:09) | ===> btop++ v.1.3.2
2024/04/15 (10:21:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/15 (10:21:09) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/15 (15:09:47) | ===> btop++ v.1.3.2
2024/04/15 (15:09:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/15 (15:09:47) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/15 (15:40:15) | ===> btop++ v.1.3.2
2024/04/15 (15:40:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/15 (15:40:15) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/19 (16:14:46) | ===> btop++ v.1.3.2
2024/04/19 (16:14:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/19 (16:14:46) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/22 (22:02:38) | ===> btop++ v.1.3.2
2024/04/22 (22:02:38) | ERROR: Stall in Runner thread, restarting!
2024/04/22 (22:05:21) | ERROR: Stall in Runner thread, restarting!
2024/04/23 (08:10:06) | ERROR: Stall in Runner thread, restarting!
2024/04/23 (08:10:24) | ERROR: Stall in Runner thread, restarting!
2024/04/23 (08:14:04) | ERROR: Stall in Runner thread, restarting!
2024/04/23 (08:14:10) | ERROR: Stall in Runner thread, restarting!

2024/05/23 (16:22:42) | ===> btop++ v.1.3.2
2024/05/23 (16:22:42) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/05/23 (16:22:47) | ===> btop++ v.1.3.2
2024/05/23 (16:22:47) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/07/27 (18:30:03) | ===> btop++ v.1.3.2
2024/07/27 (18:30:03) | ERROR: Stall in Runner thread, restarting!
2024/07/27 (18:30:10) | ERROR: Stall in Runner thread, restarting!
2024/07/27 (18:30:23) | ERROR: Stall in Runner thread, restarting!

2024/07/27 (18:38:12) | ===> btop++ v.1.3.2
2024/07/27 (18:38:12) | ERROR: Stall in Runner thread, restarting!
2024/07/27 (18:40:35) | ERROR: Runner thread died unexpectedly!
